item_description,shop_id,item_price,quantity_sold,shop_area_sq_ft,shop_profile,month
DRINK,46,270,1,545,default_value,10
DRINK,46,290,1,545,default_value,10
DRINK,46,220,2,545,default_value,10
DRINK,46,180,4,545,default_value,11
DRINK,46,60,1,545,default_value,11
DRINK,46,100,2,545,default_value,11
DRINK,46,70,2,545,default_value,11
DRINK,46,220,1,545,default_value,11
DRINK,46,220,1,545,default_value,11
DRINK,46,150,2,545,default_value,12
DRINK,46,150,1,545,default_value,12
DRINK,46,220,1,545,default_value,12
DRINK,46,220,1,545,default_value,12
WATER,46,35,1,545,default_value,12
DRINK,46,150,2,545,default_value,10
WATER,46,840,24,545,default_value,10
DRINK,46,320,2,545,default_value,10
DRINK,46,150,2,545,default_value,10
DRINK,46,290,1,545,default_value,10
DRINK,46,290,0,545,default_value,10
DRINK,46,110,1,545,default_value,11
DRINK,46,220,1,545,default_value,11
DRINK,46,440,2,545,default_value,11
DRINK,46,440,3,545,default_value,11
DRINK,46,660,3,545,default_value,11
DRINK,46,220,1,545,default_value,11
DRINK,46,220,1,545,default_value,11
DRINK,46,290,1,545,default_value,12
DRINK,46,220,2,545,default_value,12
DRINK,46,220,2,545,default_value,12
DRINK,46,320,3,545,default_value,12
DRINK,46,220,3,545,default_value,12
DRINK,46,440,2,545,default_value,12
WATER,46,70,2,545,default_value,10
DRINK,46,150,2,545,default_value,10
DRINK,46,60,1,545,default_value,10
DRINK,46,60,3,545,default_value,10
MISSING,46,70,1,545,default_value,10
MISSING,46,65,1,545,default_value,10
DRINK,46,110,1,545,default_value,10
DRINK,46,100,1,545,default_value,10
DRINK,46,440,3,545,default_value,10
DRINK,46,440,3,545,default_value,10
DRINK,46,220,1,545,default_value,10
DRINK,46,220,1,545,default_value,10
MILK,46,350,5,545,default_value,10
DRINK,46,300,3,545,default_value,10
WATER,46,70,2,545,default_value,10
DRINK,46,320,3,545,default_value,10
MISSING,46,70,2,545,default_value,11
DRINK,46,100,2,545,default_value,11
DRINK,46,220,2,545,default_value,11
DRINK,46,60,2,545,default_value,11
DRINK,46,220,1,545,default_value,11
DRINK,46,220,1,545,default_value,11
DRINK,46,1100,6,545,default_value,11
DRINK,46,220,1,545,default_value,11
MILK,46,140,3,545,default_value,11
WATER,46,35,2,545,default_value,12
WATER,46,840,24,545,default_value,12
DRINK,46,2720,17,545,default_value,12
DRINK,46,540,10,545,default_value,12
DRINK,46,360,7,545,default_value,12
DRINK,46,220,2,545,default_value,12
DRINK,46,220,2,545,default_value,12
DRINK,46,100,2,545,default_value,12
DRINK,46,220,2,545,default_value,12
WATER,46,35,2,545,default_value,12
DRINK,46,220,1,545,default_value,10
DRINK,46,450,3,545,default_value,10
DRINK,46,100,2,545,default_value,10
DRINK,46,220,3,545,default_value,10
WATER,46,70,1,545,default_value,10
DRINK,46,270,0,545,default_value,10
DRINK,46,320,3,545,default_value,10
DRINK,46,150,1,545,default_value,11
DRINK,46,220,1,545,default_value,11
DRINK,46,220,2,545,default_value,11
WATER,46,35,1,545,default_value,11
